Episode,Image URL,Big Idea,Disappearance,Notes
"""At the Car Wash""",https://static.wikia.nocookie.net/phineasandferb/images/e/ea/Phin-tastic_Ferb-ulous_Car_Wash.jpg/revision/latest/scale-to-width-down/200?cb=20230704140048,The boys help theFireside Girlsraise money to save theStarnose Moleby building acar wash. They also use their rotating swing set.,"Doofenshmirtz's Mountain Out of a Molehill-inator hits the molehill underneath it, causing the Starnose Mole to grow; it picks up the car wash, and walks off with it.",Jeremyinvites Candace for a ride through the car wash in his mom's car.
"""Oh, There You Are, Perry""",https://static.wikia.nocookie.net/phineasandferb/images/1/18/Phineas_and_Ferb_use_their_platatractor_to_try_and_find_perry.jpg/revision/latest/scale-to-width-down/200?cb=20120107192813,"Perrygets relocated to anew nemesisand a new family. Distraught, Phineas and Ferb use theirplatypus-attracting systemto try and find him, and later singa songto bring him home.",N/A,Perry is reassigned to his original family and nemesis at the end of the day.
"""Swiss Family Phineas""",https://static.wikia.nocookie.net/phineasandferb/images/8/81/Well_there_is_living_and_there_is_luxuary.jpg/revision/latest/scale-to-width-down/200?cb=20120109081737,"The family andIsabellaget stranded on an island, so they build aSwiss-style treehousefor survival.","The nearby volcano 'erupts' with 'pink lava', washing it away.",Candace needs to get home in time for Jeremy's party.
"""Hide and Seek""",https://static.wikia.nocookie.net/phineasandferb/images/8/8d/Candance_discovers_the_shrinking_device.jpg/revision/latest/scale-to-width-down/200?cb=20130831165830,The boysshrink themselves and their friendsdown to microscopic size to play an indoor game of hide and seek.,"Doofenshmirtz self-destructs one of his inventions, which happens to be near the machine.",The invention utilizes technology from their previousshrinking adventure.
"""That Sinking Feeling""",https://static.wikia.nocookie.net/phineasandferb/images/d/da/The_ship_in_the_backyard.jpg/revision/latest/scale-to-width-down/200?cb=20120329190714,Phineas and Ferb helpBaljeetimpress his childhood friendMishtiwith aromantic cruise.,"A lighthouse rocket crashes into it, making it sink.",Mishti is one of Baljeet's friends from India.
"""The Baljeatles""",https://static.wikia.nocookie.net/phineasandferb/images/f/fc/The_Baljeatles.jpg/revision/latest/scale-to-width-down/200?cb=20120531142550,Phineas and Ferb help Baljeet to rock out for theSummer Rockscamp.,N/A,"Phineas, Ferb, andBufordbecome part ofthe Baljeatles."
"""No More Bunny Business""",https://static.wikia.nocookie.net/phineasandferb/images/b/bc/X-Ray_Glasses.png/revision/latest/scale-to-width-down/200?cb=20190910063630,Phineas and Ferb makeX-ray specsthat actually use X-rays.,"X-Ray Glasses: Arogue rabbit agentuses the glasses to discover the entry to spy headquarters, hastily throwing them away afterwards. It's unknown if the glasses still stood.",They order a truckload of carrots to charge up the apparel.
"""Spa Day""",https://static.wikia.nocookie.net/phineasandferb/images/e/e2/BackyardSpa.jpg/revision/latest/scale-to-width-down/200?cb=20230626104937,Phineas and Ferb constructa spa.,"Doofenshmirtz's new kitten, Mr. Fluffy Pants, accidentally uses Doofenshmirtz's old Destruct-inator Ray to destroy the spa.",CandaceandStacybuild a house withJeremybefore they go to Phineas and Ferb's spa.
"""Phineas and Ferb's Quantum Boogaloo""",https://static.wikia.nocookie.net/phineasandferb/images/9/96/Metal_Structure.png/revision/latest/scale-to-width-down/200?cb=20200514163640,"Phineas and Ferb use the time machine used in ""It's About Time!"" to go to the future to find a tool that hasn't been made yet. Phineas and Ferb run into thefuture Candaceand her kids.",N/A,"The future Candace takes the time machine to bust Phineas and Ferb forbuilding the roller coaster, but it ends up creating a bad future ruled by Doofenshmirtz. They are seen doing activities fromthe series' theme song. The past Isabella uses the time machine to give the tool to the present day boys, creating a time loop."
"""Bubble Boys""",https://static.wikia.nocookie.net/phineasandferb/images/3/34/KidsGetInBubble.jpg/revision/latest/scale-to-width-down/200?cb=20250115211927,Theycreate a giant bubblethat they can travel through town in.,The bubble eventually pops and they land in the park. It is unknown what happens to the machine.,The idea of the flight is suggested byBuford.
"""Isabella and the Temple of Sap""",https://static.wikia.nocookie.net/phineasandferb/images/2/29/GirlsInFrontOfTemple.jpg/revision/latest/scale-to-width-down/200?cb=20100713154743,Isabellaand the Fireside Girls get sap from a tree to help Phineas and Ferb make the bubble.,N/A,Gingeradmits her liking ofBaljeet.
"""Cheer Up Candace""",https://static.wikia.nocookie.net/phineasandferb/images/2/2b/Cheer_Up_Candace_title_card.jpg/revision/latest/scale-to-width-down/200?cb=20091212044636,"Phineas and Ferb try to cheer Candace up with abizarre beautifying, acomedy club, and amixing machineafter Jeremy cancels a date.","Schloko: Doesn't disappear, but Candace rejects her new clown look.Ha-Ha Hut: N/A
Mix N' Mingler: Debris from Doofenshmirtz's Perry robots causes the mingler to spin too fast, destroying it.","Before the animating mission, they build a replica of the Temple of Angkor Wat out of playing cards."
"""Fireside Girl Jamboree""",https://static.wikia.nocookie.net/phineasandferb/images/0/01/Maximum_patch-earning_plan_2.png/revision/latest/scale-to-width-down/200?cb=20091026032028,"Phineas and Ferb assist Candace in becoming a Fireside Girl by plotting anoptimized patch course. The previous day had been their ""biggest project ever"", but little is seen of it.","The roller coaster disappears when Doofenshmirtz hits it with his Metal Destruct-inator, turning it into broccoli.","Candace only does it to go to a sold-out concert, though this is not actually necessary as Isabella could bring guests. In order to earn the Delivering Cupcakes Patch, the boys build their second roller coaster."
"""The Bully Code""",https://static.wikia.nocookie.net/phineasandferb/images/d/d1/Endangerment_Contraption.png/revision/latest/scale-to-width-down/200?cb=20200514164057,"The boys build a giantcontraptionthat puts the life of Baljeet in great peril as soon as he stands on the X, so that Buford will save his life.","It doesn't disappear; Linda sees it, thinking it is public art.","They do this because Baljeet had saved Buford's life, inadvertently submitting to the bully code, by which Buford becomes Baljeet's slave."
"""Finding Mary McGuffin""",https://static.wikia.nocookie.net/phineasandferb/images/b/b3/P%26F_in_black_and_white.jpg/revision/latest/scale-to-width-down/200?cb=20130318204535,"Phineas and Ferb help Candace to retrieve herdoll, which is accidentally sold off to Doofenshmirtz.",N/A,Vanessa wants it too. The doll is discontinued.
"""Picture This""",https://static.wikia.nocookie.net/phineasandferb/images/4/40/Matter_Transporter_in_action.jpg/revision/latest/scale-to-width-down/200?cb=20241129125623,The boys create agraphic teleporterafter Ferb leaves a skateboard back in England.,"Perry uses it to transport Doofenshmirtz's new invention there, which then self-destructs.",They utilize the technology to aid their friends in finding lost items.
"""Nerdy Dancin'""",https://static.wikia.nocookie.net/phineasandferb/images/3/34/NerdyDancin_-_Ferb_Backstage_LADTWS.PNG/revision/latest/scale-to-width-down/200?cb=20100813053511,"Phineas and Ferb ""teach"" Jeremy how to dance using ametal exoskeleton.",N/A,"JeremyandCandaceare entered in ""Let's All Dance Until We're Sick."""
"""What Do It Do?""",https://static.wikia.nocookie.net/phineasandferb/images/a/a0/WhatIsThis.png/revision/latest/scale-to-width-down/200?cb=20231221181355,Phineas and Ferb figure out what an invention does using reverse-engineering.,"The first rocket takes off after the arm that Perry used to get past the traps accidentally hits a red button. Ironically enough, it promptly falls in love with thesecond oneand they take off together.",It isDoofenshmirtz's anti-romance invention. It lands in Phineas and Ferb's front yard.
"""Atlantis""",https://static.wikia.nocookie.net/phineasandferb/images/5/5d/Singing_about_Atlantis_1.jpg/revision/latest/scale-to-width-down/200?cb=20110705220446,Phineas and Ferb and their friends go to the beach and find the lost city of Atlantis.,"When they take it to the surface with giant helium balloons, spines from Doofenshmirtz's evil plants pop them so it sinks again.Irving took photos, but his camera was stolen by an eel; when he tried to take imaginary photos, he realized he left his thumb in front of the lens.",Irvingis included in the adventure because he went into Phineas and Ferb's car whiletheir momgot gas.
"""Phineas and Ferb Christmas Vacation!""",https://static.wikia.nocookie.net/phineasandferb/images/d/d6/Bed_Bobsleds.jpg/revision/latest/scale-to-width-down/200?cb=20221127192213,"Phineas and Ferb thankSantaby decoratingDanvilleand making a rest stop for him. After the effects of Doofenshmirtz's Naughty-inator, Phineas and Ferb releasea songto get the attention of Santa Claus.",Santa takes the rest stop to the North Pole as a clubhouse. It is unknown how everything else disappears.,They later decide to save Christmas for the Danville area.
"""Just Passing Through""",https://static.wikia.nocookie.net/phineasandferb/images/9/9d/JustPassingThrough_2.png/revision/latest/scale-to-width-down/200?cb=20190917201731,"Linda loses her guitar pick, so Phineas and Ferb makean orbthat goes through anything to locate it.",A steamroller runs it over.,This invention saves the kids' life by allowing a steamroller to safely pass through them.
"""Candace's Big Day""",https://static.wikia.nocookie.net/phineasandferb/images/a/a9/Wedding_day_ice_sculpture.png/revision/latest/scale-to-width-down/200?cb=20131015010028,Phineas and Ferb helpthrow a weddingforUncle BobandAunt Tiana.,"Doofenshmirtz's Junk Food-inator hits the ice slide and melts it, but the sculptures remain intact.","Candace acts as the chief planner for the event, reluctantly ordering her siblings to aid her in the process."
"""I Was a Middle Aged Robot""",https://static.wikia.nocookie.net/phineasandferb/images/5/55/Phineas_and_Ferb_in_a_hot_air_balloon.jpg/revision/latest/scale-to-width-down/200?cb=20100424050307,"Candace and Lawrence participate in a competition, so Phineas, Ferb, and the Fireside Girls build ablimp to cheer on the duo.",A nail from Doofenshmirtz's plane pops it.,The airship is run by the energy exercise. It includes a 360º Fun Bounce corridor.
"""Suddenly Suzy""",https://static.wikia.nocookie.net/phineasandferb/images/6/61/PF_replica_of_Niagara_Falls.jpg/revision/latest/scale-to-width-down/200?cb=20110516160119,Phineas and Ferb build areplica of Niagara Fallsso they can ride a barrel over it.,"Buford sticks someTuff Gumto the top, making it stick to Doofenshmirtz's Carbon Footprint-inator.","They get the idea while under a broken sprinkler, which Linda mentions looks like Niagara Falls.Candace tries to get her brothers to bust themselves."
"""Undercover Carl""",https://static.wikia.nocookie.net/phineasandferb/images/7/78/PFandFriendsintheairwithnogravity.png/revision/latest/scale-to-width-down/200?cb=20190917202256,"Phineas and Ferb build theAnti-Gravity Fun Launcher, but Carl intercepts their plans assuming that they are working for Doofenshmirtz, so he is sent undercover to figure out what they are doing.",Doofenshmirtz steals it after his one is taken away by the police.,They are inspired to defy gravity under the prospect of challenging universal laws.
"""Hip Hip Parade""",https://static.wikia.nocookie.net/phineasandferb/images/0/0a/Tristateareaunificationday.jpg/revision/latest/scale-to-width-down/200?cb=20110516160252,Phineas and Ferb decide to help build floats for all the neighborhood kids in the yearlyUnification Day Parade.,"Doofenshmirtz's Duplic-8-inator hits the balloons above them the floats, so they float away.","Candace is out with Linda all day and had promised not to obsess about the boys, but seeing the parade go by makes the temptation too irresistible."
"""Invasion of the Ferb Snatchers""",https://static.wikia.nocookie.net/phineasandferb/images/1/15/Ferbsnatchershideousballofgoo.png/revision/latest/scale-to-width-down/200?cb=20110204003117,"After watching a sci-fi movie marathon, Candace becomes convinced that Ferb is an alien, but it is revealed that Phineas and Ferb built a spacecraft for Garbog, an actual alien friend of Meap's.",The launchpad that Phineas and Ferb made was wrapped up in a nice little bow because it was shot by Doofenshmirtz's Wrapped Up in a Nice Little Bow Inator.The Linda robot controlled by Garbog disappears after he flies off.,"In the end, Ferb is not an alien, and there are logical explanations for all of her proofs. For example, Candace thought she saw Ferb's head floating in liquid in a jar, but the jar only contained the liquid and Ferb was standing behind it; and when Candace thought she saw Ferb's head ripped off, but she had mistaken him for a cord in a tent."
"""Ain't No Kiddie Ride""",https://static.wikia.nocookie.net/phineasandferb/images/a/a1/Ain%27t_No_Kiddie_Ride.jpg/revision/latest/scale-to-width-down/200?cb=20250205204845,Phineas and Ferb trick outkiddie ridesata store.,The rides are taken away and replaced with brand new identical ones.,"Candace ends up flying around town uncontrollably, and the boys and their friends have to save her."
"""Not Phineas and Ferb""",https://static.wikia.nocookie.net/phineasandferb/images/8/80/Holographic_Eiffel_Tower.JPG/revision/latest/scale-to-width-down/200?cb=20190916004914,"Phineas and Ferb go to the movies, but Baljeet and Buford pose as Phineas and Ferb beside a giant hologram of the boys' Eiffel Tower construction.",Baljeet: He turns off the projector.,This is done for Irving's brother Albert because he doesn't believe that Phineas and Ferb are anything special.
"""Phineas and Ferb-Busters!""",https://static.wikia.nocookie.net/phineasandferb/images/6/68/Tra-la-la_Hey_hey.jpg/revision/latest/scale-to-width-down/200?cb=20240819024908,Phineas and Ferb create an unlimited power supply to propel a group of cyclone-like vehicles known as theSpinning Tops of Doom.,Amusement park thing: Unknown,"Candace could've easily busted the boys in this episode, but because she was waiting for a signal from Stacy and Jenny in the backyard (which never came; their headsets were destroyed), the tops disappeared. In the beginning, they show an amusement park type thing containing their third Roller coaster. (""Rollercoaster"", ""Fireside Girl Jamboree"")"
"""The Lizard Whisperer""",https://static.wikia.nocookie.net/phineasandferb/images/a/ab/Froyo_machine.jpg/revision/latest/scale-to-width-down/200?cb=20230622105446,"The boys build aFrozen Yogurt Machineto last them the summer. After finishing it, they spy a chameleon and decide to keep him as a pet.",Giant Steve: Doofenshmirtz accidentally turns on his Gigantinator Ray and shrinks Steve back to his normal size.,This invention is built at the start of the episode and is quickly destroyed when Steve grows to a gigantic size.
"""Robot Rodeo""",https://static.wikia.nocookie.net/phineasandferb/images/6/63/Backyard_rodeo.png/revision/latest/scale-to-width-down/200?cb=20100309034031,The boys host a rodeo withrobot bulls.,"The bulls are enraged by a red balloon. When the kid lets go of it, the bulls chase it, taking the rodeo with them.",Isabella's hair gets frizzy.
"""The Beak""",https://static.wikia.nocookie.net/phineasandferb/images/e/e4/Flying_Around_Course_With_Grapple.png/revision/latest/scale-to-width-down/200?cb=20100507231117,"Asuper villainarrives in Danville to challenge Phineas and Ferb after the boys are mistaken as a superhero (while wearing an indestructible suit they designed to safely conquer their newly builtextreme skate-track) known asThe Beak. With the super villain wreaking havoc, it's up to Phineas and Ferb to thwart him.","Skate Track: To stop flying, the Beak uses his grappling hook to latch onto the skate park, knocking it down.","They initially built a super skate ramp of doom. After realizing the dangers of the ramp, they build a super suit to protect themselves."
"""She's the Mayor""",https://static.wikia.nocookie.net/phineasandferb/images/f/f2/Pioneer_Town.jpg/revision/latest/scale-to-width-down/200?cb=20230712123936,Phineas and Ferb buildan authentic log cabin and a pioneer villageusing only their dad's antique collection of pioneer tools.,"Doofenshmirtz's Accelerate-inator rewinds time and eventually rips it to shreds, creating a new, alternate dimension.","This is the fourth time that Candace busts her brothers, though the giant time-lapse erases the event."
"""The Lemonade Stand""",https://static.wikia.nocookie.net/phineasandferb/images/1/1c/The_lemon_juice_maker.jpg/revision/latest/scale-to-width-down/200?cb=20130401042045,"After Candace suggests them to think of something normal to do for a change, they build a very typicallemonade stand, and begin to offer franchise opportunities.","The robot is cut by Doofenshmirtz's Paper Cut-inator. Lemon juice pours into the cut, destroying the robot, and consequently ending the business. Ferb presses a button which flips the backyard over, hiding the robot before Linda arrives.","In order for Phineas and Ferb to produce the lemonade, they create a giant robot-like machine."
"""Phineas and Ferb Hawaiian Vacation""",https://static.wikia.nocookie.net/phineasandferb/images/f/f6/Phineas_and_Ferb_with_A-Primes.JPG/revision/latest/scale-to-width-down/200?cb=20130802062734,Part I: Phineas and Ferb buyAqua Primatesand use their growth elixir to make them grow to be human sized.,"Part I: Doofenshmirtz's De-Evolutionator, which is set on reverse, hits the A-Primes, evolving them into humans.","Part I: The growth elixir was used onBaljeet's watermelon,Candaceand the whole universe in ""Attack of the 50 Foot Sister""Part II: They ride a large wave."
"""Phineas and Ferb: Summer Belongs to You!""",https://static.wikia.nocookie.net/phineasandferb/images/1/13/SBTY-101-In_this_ship_we_will_travel_around_the_world.jpg/revision/latest/scale-to-width-down/200?cb=20230308141211,"Phineas and Ferb build theSun-Beater 3000and fly around the world in one day. The day before, they make ajump-roping robot.","Jump-Roping Robot: Not shown, but it is caught on the tail of the airplane Doofenshmirtz and Vanessa ride to Tokyo.Sun-Beater 3000: It is gradually destroyed as they go along until only the seats are left.","They carry out this plan to honor the summer solstice, the longest day of the year."
"""Nerds of a Feather""",https://static.wikia.nocookie.net/phineasandferb/images/1/16/Fantasy_vs._Sci-Fi.JPG/revision/latest/scale-to-width-down/200?cb=20200106014300,"Phineas and Ferb head to the Tri-State Area's annual fantasy and sci-fi convention to meet their hero, special effects guruClive Addison, with whom they team up tostop a fandom quarrel.",N/A,Their plan gets sidetracked when they are swept into a duel betweenfantasyfans andsci-figeeks.
"""We Call it Maze""",https://static.wikia.nocookie.net/phineasandferb/images/2/21/The_Labyrinth.JPG/revision/latest/scale-to-width-down/200?cb=20101002041351,Phineas and Ferb build achallenging labyrinthin their backyard.,Doofenshmirtz's Tilt-inator causes it to roll away.,Its inspiration comes from a boring cereal puzzle.
"""Ladies and Gentlemen, Meet Max Modem!""",https://static.wikia.nocookie.net/phineasandferb/images/b/bf/Max_Modem_Entrance.JPG/revision/latest/scale-to-width-down/200?cb=20110314011612,"Phineas and Ferb decide to turn their father into Max Modem, an unknown singer of an'80s band.",N/A,Lawrence feels depressed because he believes that his wife might forget him owing to her status as a cult star.
"""The Secret of Success""",https://static.wikia.nocookie.net/phineasandferb/images/b/be/Phineas_and_Ferb%27s_All_Terrain_Vehicle.JPG/revision/latest/scale-to-width-down/200?cb=20130802104641,"After watching a commercial for an all terrain vehicle, Phineas and Ferb build abetter model- one that can drive on literally any type of surface.","Doesn't disappear, but Ferb activates Rocket Mode and flies to the moon. It's unknown if it still stood afterwards.","The truck turns into a rocket and flies away before Linda sees it. Candace was the one who gets in trouble because when trying to show it to Linda, she mentions that she was driving it, resulting in Linda punishing her for believing she drove a car without adult supervision."
"""The Doof Side of the Moon""",https://static.wikia.nocookie.net/phineasandferb/images/5/50/Phineas_and_Ferb%27s_Building.JPG/revision/latest/scale-to-width-down/200?cb=20240810195907,Phineas and Ferb decide to build theWorld's Tallest Buildingin order to make Danville more popular.,"Doofenshmirtz's Lunar Rotate-inator hits the Moon, which the building is attached to, causing it to rotate out of the backyard and away.",Doofenshmirtz's invention drives it away.
"""Split Personality""",https://static.wikia.nocookie.net/phineasandferb/images/6/6a/I_gotta_show_this_to_mom%21.png/revision/latest/scale-to-width-down/200?cb=20111120084957,"Phineas and Ferb create amachinethat splits an object into its components, but their cover is blown with Candace and her double one (one obsessed with busting, and the other obsessed with Jeremy).","Candace accidentally steps on a rock, which really activates Perry's lair entrance, which the Molecular Separator was stood on.",They have to get the two Candaces before they get in trouble.
"""Brain Drain""",https://static.wikia.nocookie.net/phineasandferb/images/f/f8/AtBed.png/revision/latest/scale-to-width-down/200?cb=20110314013218,"Phineas, Ferb, Isabella, and Baljeet are sick in bed. To pass the time, they, along with Buford,play video gamesthat let them compete against one another.",N/A,"Later, they accidentally get the video feed from a junkyard rave where Perry and Doofenshmirtz are fighting. They all control a part of Perry to fight Doofenshmirtz, thinking it is a Perry-based level in the game."
"""Rollercoaster: The Musical!""",https://static.wikia.nocookie.net/phineasandferb/images/c/c9/Rollercoaster_the_Musical.jpg/revision/latest/scale-to-width-down/200?cb=20250212004907,"Phineas and Ferb buildtheir rollercoasteragain, but this time as a musical.",It has the same fate as the previous one.,"This is the fourth rollercoaster they build (""Rollercoaster"", ""Fireside Girl Jamboree"", ""Phineas and Ferb-Busters!"")."
"""Make Play""",https://static.wikia.nocookie.net/phineasandferb/images/8/87/Giant_Jukebox.png/revision/latest/scale-to-width-down/200?cb=20200514164300,Phineas and Ferb build ahuge jukeboxafter Lawrence showcases a regular one to them.,Doofenshmirtz's Super-Claw-inator picks it up and takes it away.,The jukebox is afterwards used at the inauguration of the opera house.
"""Candace Gets Busted""",https://static.wikia.nocookie.net/phineasandferb/images/2/2b/Not_their_party.JPG/revision/latest/scale-to-width-down/200?cb=20110314020911,"After Candace's ""intimate get together"" turns into a house party, they eat potato chips while a crowd cheers them on.","Doofenshmirtz's Go-Away-inator takes away the party, but Perry sets the ray to reverse and brings the party back to the backyard.","Candace asks Phineas and Ferb to stay out of the way, so they don't do anything. In the end when Linda and Lawrence come home, Candace is busted."
