Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure/Destruction
3,17,"""Road Trip""",Big RigHitch-a-Ride-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz uses a big rig to transport his boom juice, which is what he needs for his inators' self-destruct feature, across the Tri-State Area. To battle with Perry while in the rig, Doofensmirtz used the Hitch-a-Ride-Inator to connect to the Flynn-Fletchers' RV.","Perry cuts the Hitch-a-Ride-Inator and the Big Rig lands into Cactus Gorge then the Big Rig blows up in a giant explosion. And just when Doofenshmirtz thought things couldn't get any worse, he is covered in flaming cactus from the resulting explosion."
3,18,Phineas and Ferb the Movie: Across the 2nd Dimension,Other-Dimension-inator and Other Other-Dimension-inatorAmnesia-inatorNormbotsGiant Robot,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz creates the Other-Dimension-ator to travel to another dimensions, he goes through it and finds himself in analternate universein which amore evil version of himrules hisworldwith robots. It is unknown why he built it to begin with. He builds another version of it in the second dimension. He refers to it as the ""Other Other-Dimension-inator"".He also mentions trying to conquer Danville with an army of giant robots but failed because of the self-destruct button at the bottom of their feet. The Amnesianator is used to wipe out the memories of those who has seen Perry's identity and the events that happened today. It is considerably larger and more powerful than the Forget-About-It-inator.","Succeeds in activating the Other-Dimension-inator (thanks to the help from Phineas and Ferb). He later gets his memory erased by the Amnesia-Inator, another one of his inventions that he apparently used on himself."
3,19,"""Tour de Ferb""",Pop-Up-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz attempts to use his Pop-Up-inator to place his own evil pop up ads virtually everywhere in the Tri-State Area.,Perry pushes the Pop-Up-inator off the balcony.
3,20,"""Skiddley Whiffers""",Being overprotective to his daughter.,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Tries to protect his daughter on a camping trip.,"Vanessa makes him stop overprotecting her, but when bees attack, he cover himself with honey and jumps from a cliff to  to stop them."
3,21,"""My Fair Goalie""",If-a-Tree-Fell-in-the-Forest-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He builds a machine that causes a tree (or anything) fall, with the sound made by the falling object being ""Doofenshmirtz""; with this, he can answer a philosophical question and become famous.",Perry destroyed the inator by reflecting its ray off a mirror.
3,22,"""That's the Spirit""",Mind-Transfer-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to swap minds with a cow so he can destroy all the grass in the Tri-State Area. However, it instead turns him into awere-cowevery full moon.",An angry mob forms and proceeds to chase Doof as the were-cow around town.
3,23,"""The Curse of Candace""",Gimmelshtump-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz attempts to turn the Tri-State Area into a copy ofGimmelshtumpso it will be easier to take over.,Perry pushes the Gimmelshtump-Inator out the balcony turning Gimmelshtump back into Danville.
3,24,"""Escape from Phineas Tower""",Rude-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz invents a ""Rude-Inator"" to ruin Roger's meeting with a visitingEnglish ambassador.","The inator hits the boys' tower instead of the ambassador, turning its computer controls against them. Perry plugs up the Inator's blaster with a cork, and a frustrated Doofenshmirtz hits the fire button so many times that the Inator explodes."
3,25,"""Lotsa Latkes""",Historical Army Retrieve-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz's plans on using his latest ""-inator,"" a potato-powered ""Historical Army Retrieve-Inator,"" to summon the Spartan army and command them to take over the Tri-State Area.",The inator summons a Mongolian army instead. Perry puts the Inator in reverse and sends both Doofenshmirtz and the Mongolians into the past.
3,26,"""Ferb Latin""",Norm and Propaganda,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz decides to use propaganda as his new ""inator,"" believing that it will work since people will believe anything they read.",Perry takes off Norm's fuel cap and Norm goes out of control and crash lands. (It is unknown how he survived the fall.)
3,27,"""A Phineas and Ferb Family Christmas""",Transport-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He could go on shopping while everybody else was circling around looking for parking spaces. Doofenshmirtz admitted it was more unfair than evil before switching on the Transport-Inator which immediately began transporting him to the shopping stores to begin shopping for Christmas.,"Perry cracks it and it transports him to the Flynn-Fletcher household, then Doofenshmirtz takes the party to his place accidentally and it explodes."
3,28,"""Tri-Stone Area""",Stick-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofengungwanted to poke a herd of mammoths in order to cause a stampede that drives his brotherRo-juhaway from his luxurious home so he can live there himself, since his home was nowhere near as great as his.","When Doofengung poked the mammoths, instead of stampeding at Ro-juh's home, they angrily charged at Doofengung for poking them, destroying his stone house."
3,29,"""Doof Dynasty""",Kidnapping Princess IsabellaGiant Mechanical Dragon,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofus KhankidnapsPrincess IsabellasoRegent Monogramwon't be able to get in his way while he builds a giant dragon to destroy the Tri-Provence Area.,"PhineasandFerbfree Isabella, and use a giant terracotta warrior to fight the dragon whileMaster Perrytakes the key of the dragon out of its mouth to shut it down."
3,30,"""Excaliferb""",Unearthly RainMeatlingsMagic Scepter,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Malifishmertzcreates an army of canned meat monsters to take over the Tri-Kingdom Area. However, the meatlings turn out to be smaller, cuter, and less evil than he expected, so he creates an unearthly rain which will make the meatlings more evil.Does everything that the boys' potions can do.","Phineas,Ferbalot,Parable, and the army of 10,000 monsters battle the meatlings, and by using a potion on himself, Ferb turns into Medusa and turns the meatlings to stone.WhenCandavereshows up, the scepter explodes.Despite this, Malifishmertz escapes."
3,31,"""Phineas and Ferb and the Temple of Juatchadoon""",Controlling theCorn Colossusof JuatchadoonNorm,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtzplans to steal the lost Amulet of Juatchadoon in order to control a giant Corn Colossus so he can take over the world.,"Perryuses his fez to give the amulet toOhio Flynn, who smashes it, causing the Colossus to burst into popcorn."
3,32,"""Monster from the Id""",Underwear-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz's evil plan is to use his Underwear-Inator to take over the Tri-State Area, since everyone's greatest fear is being caught in public in their underwear.",Perry removes some wires in the Underwear-Inator.
3,33,"""Gi-Ants""",Turkey-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz feels tired and lethargic after eating turkey and decides to create a Turkey-Inator that will create a sleeping epidemic in Danville by turning things into giant irresistible turkeys.,Perry turns his Turkey-Inator into a giant turkey.
3,34,"""The Remains of the Platypus""",Butler-inatorVaporizer-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz makes Perry his butler with his Butler-inator.,"Succeeds in turning Perry into his butler, but before getting zapped, Perry wrote a message on his body saying ""I fight evil"" that can only be seen with a mirror. When he sees it he is reminded of his identity and is set free from the effects of the Butler-Inator; he hits the Vaporizor-inator with a chair, destroying it."
3,35,"""Mom's in the House""",Duplicate-inator 2,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz duplicates his head because he thinks that two heads are better than one.,"Perry hits the Duplicate-Inator with a golf club, breaking it."
3,36,"""Perry The Actorpus""",Mustache-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to prank people by causing people to grow bushy mustaches, because he finds them amusing.","Perry takes out a wrench and destroys the Mustache-Inator, but not after giving Doofenshmirtz a mustache."
3,37,"""Let's Bounce""",Tell-the-Truth-inatorRobot Abraham Lincoln,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz tries to get people to tell the truth about each other so that society will fall apart. It also has an Abe Lincoln Robot as a decoration because of his nickname, ""Honest Abe"".","The Abe Lincoln Robot becomes self-aware and turns against Doofenshmirtz, smashing the controls and causing the Tell-the-Truth-Inator go haywire."
3,38,"""Bully Bromance Breakup""",Sculpt-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plans to turn Danville Mountain into a sculpture of himself.,"When Doofenshmirtz tries to sculpt his body on the mountain, Perry attacks him, and it scans his bad face. Afterwards, Perry scans a scale model of the mountain, turning it back to normal as Perry destroys it off-screen."
3,39,"""Quietest Day Ever""",De-Handsome-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz originally wanted to use this inator to make handsome men ugly. However, it zaps Doofenshmirtz while set on ""Not Ugly"", making Heinz irresistibly handsome. He then uses this to his advantage to try and become mayor of the Tri-State Area.","Perry tries to use the De-Handsome-inator to zap Doofenshmirtz before he is crowned mayor, but there are too many balloons in the way. So, Perry sets up many mirrors to bounce the ray until it hits Doofenshmirtz, making him ugly again."
3,40,"""The Doonkelberry Imperative""",Druelselsteinian Driving TestTelescope with rayMultiple Mini inators,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Perry and Dr. Doofenshmirtz find themselves across the ocean as Doofenshmirtz returns home  toDrusselsteinto renew his driver's license.,"He succeeds in the driving test, but fails to get back home."
3,41,"""Delivery of Destiny""",Juice-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz wants to turn City Hall into juice.,Paul the Delivery Guywraps up the Juice-inator with tape and it turns itself into juice.
3,42,"""Buford Confidential""",De-Twist-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Because Doofenshmirtz could never twist a perfect pretzel, he grows a hatred for pretzels. Upon learning that Danville is holding a Pretzel Festival, he invents the De-Twist-inator, a ray that straightens out any twist, with which he plans to zap the Danville Pretzel Festival.","Perry used the sticky mint and blanket stuck to his head to send Doof spinning into the De-Twist-inator, destroying it."
3,43,"""The Mom Attractor""",Baby-Cry-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plans to make Roger undesirable as mayor by using the Baby-Cry-Inator to make people think babies hate him.,"Phineas and Ferb's Mom attractor grabs the inator, stops its crying, and walks away with it. Believing Roger was responsible for soothing the baby’s cry, the citizens of Danville now want Roger to be re-elected."
3,44,"""Cranius Maximus""",Key-Find-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz wants to take all of the keys of the Tri-State Area so he can open any door he wants. But, he realizes that taking all of those keys was a hassle, so instead he decides to steal the Key to the city.","Perry returns all the keys, destroying the Key-Find-Inator. And although Doofenshmirtz succeeds in getting the Key to the city, he realizes that it can't fit into any key hole because it's too big. Then he gets struck by lightning."
3,45,"""Minor Monogram""",Massive Propellers,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plants to lift the Tri-State Area with the idea of everybody wanting to be put on the ground so they will obey him. ButRodrigostole the plan and wanted to break the Tri-State Area in two by manipulating the propellers at precise angles.,"Monty Monogramarrived and defeated Rodrigo, saving the Tri-State Area. Doof then decides to continue his plan, but Perry kicks him and drops the Tri-State Area in its proper place."
3,46,"""Agent Doof""",Babe-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz wanted to turn his brother into a baby but the inator wasn't plugged in.,"Norm accidentally plugs it in twice, first turningPhineasandFerband laterMom,Isabellaalong with severalFireside Girlsinto babies much toCandace's dismay."
3,47,"""What A Croc!""",Chicken Replace-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plans to ruin Roger's award for Mayor of the Year award by replacing it with a chicken.,"Perry plugs up the Inator's ""beak"" with a rubber chicken, destroying it."
3,48,"""Sleepwalk Surprise""",Confetti-inatorCupcake-inatorHug-inatorCupcake-hug-o-fetti-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz builds three nice inators in his sleep. He then combines them to make a single evil inator.,"Perry pushed part off the building, Norm trips causing part to fall off, and Doofenshmirtz accidentally tells Norm to push the last part off."
3,49,"""Sci-Fi Pie Fly""",Dough Blow-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz challenges a localpizza guyto a contest as revenge for having to pay full price for a late pizza despite a 37-minute delivery guarantee. He uses the Dough-Blow-Inator to cheat and ensure his victory.,"Perry switches the Dough Blow-inator's setting from ""blow"" to ""suck"" and it sucks in everything nearby, causing it to explode."
3,50,"""Sipping with the Enemy""",Cool-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Powered by a gallon of espresso, Doofenshmirtz tries to suck the coolness out of everyone at a trendy coffee bar and turn himself into an ""awesome dude"".","Deflected (and destroyed) by Perry, the device makesLindaandLawrencecooler than usual instead of Doofenshmirtz."
3,51,"""Tri-State Treasure: Boot of Secrets""",De-Age-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Makes himself younger to enter Danville Young FIlmmakers Festival using his film to try and take over Tri-State Area.,"The inator works well, but he still loses the film festival to Phineas and Ferb."
3,52,"""Doofapus""",Platyp-inatorDouble-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz uses the Platyp-inator to turn himself into a platypus to be evenly matched with Perry. When it gets too exhausting, Doof plans to duplicate himself with the Double-inator to outmatch Perry.","Perry rams the Platyp-inator into the Double-inator, destroying them both."
3,53,"""Norm Unleashed""",Norm's WeaponrySchmaltz-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz ends up in jury duty, so Norm takes over his schemes by weaponizing himself.Dr. Diminutivementions that Doofenshmirtz has made a Schmaltz-inator.","Perry lures Norm's squirrel heart out of him causing Norm to lose power and crash to the ground.Dr. Doofenshmirtz tries to sue Dr. Diminutive for stealing his Schmaltz-inator, which Dr. Diminutive asserts he only borrowed. As their feud escalates over the course of the trial, both of them are found in contempt of court and sent to prison."
3,54,"""Where's Perry?""",Fitness Equipment Lock-inatorUltimate Evil-inatorDisintegrator-inatorThe Galaxy-inatorDerezz-inatorOverhang-inatorUpper Decker-inatorPickle Slicer-inatorThe Stand-and--The Boar--UnknownUnknownSmells-Like-Hay-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","The Fitness Equipment Lock-inator was made to lock up every fitness machine in the Tri-State Area. That way, everyone will become overweight and Doofenshmirtz can take over with ease. But, it turns out that this was not his true evil scheme. When Perry left, he broke out the Ultimate Evil-inator in order to turn Major Monogram evil and rule the Tri-State Area through the O.W.C.A.","In a rush, Doofenshmirtz destroys the Fitness Equipment Lock-inator by pressing the Self-Destruct button, and the Ultimate Evil-inator doesn't hit its intended target. Instead, the blast bounces off of Major Monogram's hand mirror and hits Carl."
3,55,"""Where's Perry? (Part Two)""",Julienn-inatorGo Home-inatorRe-Good-inatorMagnify-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz had no choice but to work together with Major Monogram in order to stop Carl from taking over the Tri-State Area. To do so, he made a Re-Good-inator to reverse the effects of the Ultimate Evil-inator.","The Go Home-inator sends Perry to Africa.Although there were some complications with the Re-Good Inator, it does not fail to turn Carl back to normal."
3,56,"""When Worlds Collide""",Double Dutch MachineSphere-Attract-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He knew that the true measure of a man is having a world-famous roadside attraction, so he wanted to steal the World's Largest Ball of Twine so it could be his.","The World's Largest Ball of Twine ravels around theWhalemingo planet, and ravels around the tip of the Sphere-Attract-Inator. As the planet goes up, it takes the World's Largest Ball of Twine and the Sphere-Attract-Inator along with it."
3,57,"""What'd I Miss?""",A-Leaky Faucet-inatorPeach Cobbler-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof plans to embarrass his brother Roger at Everybody's a winner beauty pageant. Thought of it while losing sleep over a dripping faucet.Makes everyone want peach cobbler.,"The drip went to theFlynn-Fletcher houseinstead.Perry throws some sand at the Peach Cobbler-inator, shorting it out."
3,58,"""Road to Danville""",Trip to the Desert-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He wanted to keep Perry out of his way by transporting him to the desert so he can participate in a play.,Accidentally transports Doof the middle of a desert far away from Danville along with Perry.
3,59,"""This Is Your Backstory""",Back-story-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","To use his backstories as a source to become more evil. It is powered by miserable memories, but good memories reverse the effects.","After Perry shows him photos of him and Doof, Doof blows up the Back-story-inator with overwhelming nice backstories of Perry."
3,60,"""Blackout!""",Big Sad Eye-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",To give himself big sad eyes so that people would pity him give him whatever he wanted.,"He tries to used it on Roger, but when the power came back and Roger could see more than just his eyes, it freaked him out."
