Episode,Invention(s),Invention Image URL,Scheme,Failure/Destruction
"""Great Balls Of Water""",Double-Negative-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz is going to shoot the local caffeine shop manager and trick her into giving him some egg nog in the middle of July.,"Perry proceeds to push the self-destruct button, leaving Doofenshmirtz to clean it up and ramble about how Perry leaves messes after he wins."
"""Where's Pinky?""",Blend-Into-The-Background-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plans to conceal himself in order to proceed to steal the deed to and become ruler of theTri-State Area.,Perry stole the device to hide himself andAgent Pinkyfrom Buford.
"""Phineas and Ferb Musical Cliptastic Countdown Hosted by Kelly Osbourne""",Away-Inator helmet,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz attempts to send Kelly to another dimension for demoting him to co-host.,"Perry swoops in and uses a mirror to send Doofenshmirtz to the Baby Alien's dimension. For some unknown reason, Doof later returns."
"""Knot My Problem""",Eat-It-All-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz builds a machine that makes people eat without stopping to make all the buffets close.,"Perry makes Doofenshmirtz swallow the invention and punches him in the stomach, causing a final beam to shoot out from his mouth, also breaking the inator in his stomach."
"""Just Desserts""",Bring-Out-Dessert-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof makes a machine that makes people serve dessert so he will ruin all his brother's dinners because he will serve the dessert first and they will end sooner.,"The inator blasts off and flies towards Roger's house. Doofenshmirtz calls in on the speaker, located directly above the self-destruct button and reveals the button's location, causing Perry to push it."
"""La Candace-Cabra""",Switch-Place-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz has the brilliant idea to use it to remove hair from one person and give it to another so that he can in turn sell his hair growing tonic.,Perry pushes Doofenshmirtz off the plane in his parachute and uses the Switch-Place-Inator to have the Chupacabra and Buford swap places.
"""Happy Birthday, Isabella""",Bugs Me-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz has installed this onto an evil bug bus and is driving around Danville turning all the things that bug him literally into bugs.,"After Doofenshmirtz runs away, thinking Stacy is the monster fromThe Grievance, Perry destroys the Bugs Me-Inator, sending a final beam into space."
"""Love at First Byte""",Norm,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Norm andChloe(Rodney's invention) fall in love.,
"""One Good Turn""",90 Degree-turn-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to humiliate his brother, the Mayor, by using this on him so that he will accidentally insult the Mayor of Stumblegimp and be forced to perform the shameful ""Dance of Contrition"" to make amends.","It turns out that the ""Dance of Contrition"" was not what Doofenshmirtz expected. In fact, it was not humiliating at all. Perry escapes from his trap and pushes the contraption of the ledge."
"""Phineas and Ferb: Mission Marvel""","Power-Drain-InatorSloth-inatorOatmeal-to-Porridge-inatorMulti-Helio-Tactical-Baboon-Glom-inatorPower-Drain-Inator Mark 2 (made byRed Skull,Whiplash,Venom, andM.O.D.O.K.)Waffle-InatorJunk-Mail-inatorDisintegrator-inator","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz creates this inator originally to take the power of being mayor away from his brotherRoger. Later,Red Skull,Whiplash,Venom, andM.O.D.O.K.plan to use a modified version of the Power Drain-inator, now with the ability to drain energy and matter, to destroy the Tri-State Area, and then use it to take over the world.","After Doofenshmirtz accidentally cuts an air line to the trap, Perry destroys it, but one beam goes into space and hits a space station the boys set up for asteroid surfing, and the beam hitsIron Man,Spider-Man,HulkandThorin New York City instead. The upgraded version was destroyed when Phineas and Ferb's satellite crashes on it due to Candace causing it to fall from space. Doofenshmirtz would later use his Disintegrator-inator to destroy the satellite after the villains are arrested."
"""Thanks But No Thanks""",Inflate-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Was going to be used by Doofenshmirtz to stop a bagpipe player.,Perry throws it over the edge after deflating himself.
"""Troy Story""",De-Clutter-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Creates and tries to find the de-clutter-inator that he lost, that can unclutter a big mess he made.","Doof attempt to plug it in, but it causes an explosion that destroys itself, right after its final beam hitsLawrence."
"""Druselsteinoween""",Finding the treasure,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He and Perry follow the clues left by Doofenshmirtz's aunt, who was the previous owner of the castle.","Succeeds in finding the treasure, but various local officials take the money for unpaid fees on the castle."
"""Terrifying Tri-State Trilogy of Terror""",Inexplicable Giant Floating Baby Head-Attract-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz invents this to bring the inexplicableGiant Floating Baby Headto him, so that he can use one of its three wishes to rule the Tri-State Area.","When Doofenshmirtz used his last wish to be ""the head of the Tri-State Area"", instead of taking command of the Tri-State Area, he was literally turned into a giant head."
"""Face Your Fear""",Make Things Larger-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Created to make an army of giant bats to take over the Tri-State Area.,"Doofenshmirtz has a crippling fear of bats, and is unable to create a giant bat army."
"""Cheers for Fears""",Worst-Fear-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Invented in order to make people's biggest fears come to life.,"Doofenshmirtz is blasted by this, causing vending machines to dominate. After Perry scares the vending machines off, Doofenshmirtz proceeds to push the self-destruct button, but not before accidentally activating the invention again."
"""Steampunx""",Evil Swan,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Planned to smash all the steam-powered inventions at the world's fair.,"Swerry uses Phineas and Ferb's steam-powered chore doing device to send corn husks into the swan, causing it to blast off."
"""Just Our Luck""",Stinkelkrampen-Inator (aka Good Luck-Inator),"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz wishes to zap himself with good luck and Roger with bad luck, thus making the former fortunate enough to become mayor of Danville.","After Doofenshmirtz accidentally awakens Perry, the latter beats him up and destroys the Stinkelkrampen-Inator, reversing the effects of those who were zapped by it."
"""Return Policy""",Back-to-the-Store-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz uses this to return some of his things to the store he purchased it from without having to leave his home.,"Perry zaps Doofenshmirtz, leaving the latter in his underclothes. He is then zapped again, this time being sent toGimmelschtump,Drusselstein, specifically into the hands ofDr. Mortimer Shlusselin the hospital room he was born in."
"""Live and Let Drive""","""I-Don't-Care-Inator""","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz uses this ray, which causes whomever it blasts to become apathetic, to sabotage the race of Duchy, Montevillebad and eliminate the competition, including international racing legend of Italian-Scottish-Swiss-Dutch descent Paolo Vanderbeek.","Perry steals the -inator and reverses its effects on Vanderbeek, who would go on to win the race."
"""Phineas and Ferb Save Summer""","""Shift-The-Earth's-Position-Further-Away-From-The-Sun-Inator""","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof attempts to make the Earth go far away from the sun (because of the wrong sunscreen he brought).,"Succeeds in doing so, but later regrets it when he learns thatRodneycreated an -inizor based on the inator to move the Earth into a new ice age."
"""Father's Day""",Gum-Under-The-Shoe-inatorCannon,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof tries to get his father's old lawn gnome back.,"He succeeds, but he trips right as his father enters the room and the gnome is smashed into a million pottery shards. Heinz returns home in dismay, but after he leaves, his father recognizes the code on the back of one of the pottery shards and fixes it."
"""Imperfect Storm""","""Sog-Inator""","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof attempts to soak Grulinda for get a revenge for what she had done back in Gimmelshtump.,"The inator fails and Grulinda, who revealed that she only soaked him out of love, soaks him out of spite."
"""The Return of the Rogue Rabbit""",Transmogrification-Backpack-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof helpsDennis the Rabbitescape from prison.,Perry knocks Dennis off the dock and into the ocean. The heavy metal suit sinks and Perry has to save Dennis from drowning before arresting him. Monogram and Carl come in disguise and pick him up.
"""It's No Picnic""",Teleport-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Send Vanessa to a movie marathon that she wants to see, and later send Roger and City Hall to Drusselstein.","Succeeds in sending Vanessa to the movie theater, but after Perry fights, it starts shooting random items. One ray hits a mirror and is reflected back. Doof, Perry, and the -inator are teleported to Phineas and Ferb's picnic park, but Perry changes the settings again and zaps everything back to ""Home."""
"""The Klimpaloon Ultimatum""",Warthog-Sprayer-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",To turn Roger into a warthog so that he can be removed from office. Heinz also set the spray on Roger's podium to ensure it would happen.,"Mr. Random is standing at the podium after being exposed of his attempt to kidnap Klimpaloon, and when the timer goes off, so it sprays his head, turning it into that of a warthog's."
"""Operation Crumb Cake""",Unretrograde-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Invents an Unretrograde-inator to reverse his bad luck.,"After using the nickel in his hat, Perry pushes the self-destruct button."
"""Mandace""",Impersonator-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Attempts to turn himself into a pizza delivery-boy to pick up warm pizza for himself.,"Perry (as Blanca Dishon) throws Heinz (as Buck Buckerson) at the -inator, smashing it, disabling all of the holographic field projections, and returning everyone to normal."
"""Phineas and Ferb: Star Wars""",Sith-InatorNorm-3PO,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Darthenshmirtz attempts to turn himself into a high-level Sith.,"Three words: ""Self Destruct Port""."
"""Lost in Danville""",Unexist-inator/True-purpose-shrouded-in-an-enigma-inator (Professor Mystery's invention),,"Makes everything it hits disappear. Mystery intends to use this to get rid of Doof as revenge for 'stealing' his nemesis, Peter the Panda. He first named it the ""True-purpose-shrouded-in-an-enigma-inator"".","Peter arrives to confront Mystery while Perry arrives to rescue Doof by pointing the inator up into the sky, firing a ray to a growing black hole, erasing it from existence. Peter would later destroy the -inator before settling down to talk with Mystery."
"""The Inator Method""",Motivator-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doof holds a seminar and creates a machine for making everybody expend money on his schemes.,
"""Night of the Living Pharmacists""",Repulse-inatorMindless Zombie Pharmacists,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","The former turns anybody who gets hit by it into a repulsive being, which is really a mindless, fish-eyed version of Heinz himself. The latter turns anybody who receives physical contact with it into another zombie pharmacist.","Since the inator used more energy than usual, it exploded from overheating after the first shot. The mindless repulsive pharmacists are turned back to their original forms by being splashed by water, and everybody infected during the episode gets splashed back to normal by the water from the water tower near the end."
"""Tales from the Resistance: Back to the 2nd Dimension""",,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","None, but alternate Charlene plans to kidnap the animal agents to make Candace-2 return her Heinz Doofenshmirtz-2.","The gang puts Fedoras on the cyborg agents, making them O.W.C.A's agents again."
"""Doof 101""",,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","None. However, he teaches in Danville High School and his experiment turns Johnny into a monster. Then he plans how to turn him back to normal.",
"""Act Your Age""",Mid-Life-Crisis-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Ten years in the future, Doof wants to have a mid-life crisis so he builts a Mid-Life Crisis-Inator for having one.","After getting pushed ot of a plane, Doof decides that the mid-life crisis not how he thought it would be and gets rid of the inator chain."
"""Last Day of Summer""",Tri-Governor InatorDo-Over-InatorTime-Straighten-Out-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Upon realizing that he cannot become supreme ruler of the Tri-State Area because there is no such position, Doofenshmirtz initially invents the Tri-Governor-Inator to create the position. Later on, he believes that the shoud do this so that Vanessa no longer sees him as him as a loser and will not want to permanently move in with Charlene.The Do-Over-Inator was invented to repeat days, which Candace activates so that she can finally bust Phineas and Ferb.Due to the days constantly repeating and shortening along with the appearance of rips in the space-time continuum as a result of the Do-Over-Inator, Doofenshmirtz, Vanessa, and later Perry construct the Time-Straighten-Out-Inator to prevent the universe from being destroyed.","During one of the time loops, Perry pushes the self-destruct button to destroy the Tri-Governor Inator, but on another loop, it succeeds in creating a Tri-Governor Mansion.After returning to reality, the gang pushes the Do-Over-Inator's self-destruct button, returning everything that has disappeared from existence and repairing the space-time continuum."
Candace Against the Universe,Power Vacuum Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plan to turn the Mayor's Mansion into lint and suck it up.,
