Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure
1,11,"""S'Winter""",Melt-inator 6-5000Melt-inator 6-5000,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to increase his popularity by melting all the chocolate in the Tri-State Area and re-shaping it in his own image, albeit with a less-pointy nose.","When plugging it in, he erases all power in Danville."
1,12,"""Jerk De Soleil""",Voice-inatorVoice-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates a device that makes everybody's voice higher, making his seem lower by comparison.","After stealing the boys' tent, the Voice-inator blows Doofenshmirtz away and makes his voice higher than it was when he was a kid."
1,13,"""Are You My Mummy?""",Wood-inator/WoodenatorWoodenatorRay Gun of Pure EvilRay Gun of Pure Evil,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He takes the wood away from a beaver dam to raise the sea level, so he can have beach-front property. He also uses a ray gun to trap Perry in a bubble of pure evil.","The rivals fight over the ray gun, accidentally using the Woodenator to destroy the dam. They get trapped in the same bubble. After using Doof's nose to pop the bubble, Perry escapes and the water wipes Doofenshmirtz into a sewage pipe leading to the ocean."
1,14,"""I Scream, You Scream""","Space-Laser-inatorSpace-Laser-inator, built by Phineas and FerbIce Cream Sundae MakerIce Cream Sundae Maker, built by Dr. Doofenshmirtz","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He tries to create a space-laser-inator but ends up making a sundae machine instead.,"Vanessa and Ferb accidentally switch blueprints. After the occurrence, Phineas forgets to put the laser on the Space-Laser-inator, rendering it unusable post the launch."
1,15,"""Toy to the World""",Brick Wall Around the Tri-State AreaBrick wall surrounding the Tri-State Area,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He tries to build a Great Wall around the Tri-State Area and make people pay to get in or out.,"Perry chases Doof into a trapdoor, and he gets locked in a crate of Perry Inaction Figures. He is sent on a cruise boat and gets seasick."
1,16,"""Get That Bigfoot Outa My Face!""",DateDoofenshmirtz's date cuddles Perry,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","It's his week off, so he arranges a date with a girl he met online. Perry is asked to pose as a mindless pet so the date doesn't find out he has a nemesis.",His date mistakes him for Bigfoot and knocks him off the balcony of his vacation home with her purse.
1,17,"""It's a Mud, Mud, Mud, Mud World""",Monster-Truck-Away-inatorMonster-Truck-Away-inatorChinese Platypus Trap Disguised as aMonster-Truck-Locate-inatorFake Monster-Truck-Locate-inatorReal Monster Truck Locate-inatorReal Monster-Truck-Locate-inatorLine of Monster TrucksDoofenshmirtz's line of monster trucks,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to destroy all the monster trucks in the Tri-State Area so he can replace them with his own line of monster trucks. He also creates a machine to locate monster trucks.,"Perry sneaks into the truck. He switches the dial so Doofenshmirtz, the evil investors, and the Doof monster truck disappear into another dimension wherean alieneats them."
1,18,"""Journey to the Center of Candace""",Make-Up-Your-Mind-inatorMake-Up-Your-Mind-inatorAny Flat Surface Magnet BeltAny Flat Surface Magnet belt,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He wants to destroy anybody that can't make up their mind. He also tries to mix up the routine a little, by telling Perry the Platypus his plan before capturing him.","They mix things up a bit. Doofenshmirtz gets trapped and gets shrunken into a sandwich. Candace is about to eat him, but Pinky beats her to it."
1,19,"""It's About Time!""",Freez-inatorFreezeanatorThe Dr. Feelbetter ShowThe Dr. Feelbetter Show,"https://phineasandferb.fandom.com/wiki/List_of_Doofenshmirtz%27s_schemes_and_inventions/Season_1?file=Giant_firecracker_perry.jpg","He makes Perry the Platypus jealous by replacing him withPeter the Panda. Later they end up on ""Dr. Feelbetter"" and he reveals that it was a plan to get all the super-secret agents together and freeze them for a giant chessboard.","The agents are freed, and they defeat all evil scientists."
1,20,"""Dude, We're Getting the Band Back Together""",World's Largest FirecrackerWorld's Largest Firecracker,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans a Sweet 16 party for his daughter,Vanessa, and ties Perry the Platypus to a giant firecracker for the finale. Also, he tries to hit Perry the Platypus with his ray gun, but destroys the party in the process.","Perry ties Doofenshmirtz's hand to the bow. When it shoots off, Doofenshmirtz flies away."
1,21,"""Tree to Get Ready""",Poop-inatorPoop-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to ruinhis brother's key-to-the-city ceremony by hypnotizing pigeons to defecate on him.,"Perry turns the pigeons against Doof, causing them to defecate on him in the elevator. A gooey Doof is seen exiting the elevator during the end credits."
1,22,"""The Ballad of Badbeard""","The Crocodiles,Susan and SusanSusan and Susan","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He is moving into his new lair. However, he has two crocodiles and a trap ready for Perry the Platypus.","A hallucinating Candace accidentally self-destructs the lair. While the crocodiles try to eat Doofenshmirtz, they blow up."
1,23,"""Greece Lightning""",Norm the Giant Killer Robot ManNorm the robot,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates a giant robot man, due to the fact that the platypus population is dropping because of humans.","Doofenshmirtz switches Norm on. Afterwards, Norm mistakes Doof for a platypus and chases him."
1,24,"""Leave the Busting to Us!""",Gloom-inator 3000-inatorGloom-inator 3000-inatorMagic Career (flashback)Heinz the magician,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He tries to create a new Ice Age with weather pellets and a launching machine, but ends up creating a tornado that destroys his lair and much of the Tri-State Area. It is also revealed that Doofenshmirtz was interested in magic during his youth.","Perry stops, and Doof gets away but is soon sucked into a tornado."
1,25,"""Mom's Birthday""",ShrinkspheriaShrinkspheria,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates a machine that will make everything he hates shrink until it can't be seen. Also, he buys wax robots of former Presidents Washington and Lincoln and reprograms them as security guards.","The melted robots collide with Shrinkspheria while attempting to charge Perry, causing it to explode, sending Doof and the robots flying."
1,26,"""Crack That Whip""",Bread-inatorBread-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to destroy the statue of Rutherford B. Hayes, the U.S. President with the best beard of them all, by turning it into bread, which will then be eaten by a swarm of hungry magpies that Doof has ready to release. The plan arose because Doofenshmirtz was jealous of people who could grow facial hair and he couldn't.",A mirror messes it up. At that time Doofenshmirtz also had a headache so he just turned it on and let Perry turn it off to save time so he could take a nap.
1,27,"""The Best Lazy Day Ever""",Ugly-inatorUgly-inatorSlow Motion-inatorSlow-motion-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to make everyone else ugly, due to his self-image problems. He also creates the Slow-Motion-inator to slow down Perry the Platypus, so Perry can't stop him.","Perry switches the frog with an autograph picture of the handsome movie actorVance Ward. Perry switches everything blasted by the Ugly-Inator, except for Doof (who was offended by the machine and called ugly), his chair, and his television."
1,28,"""Boyfriend From 27,000 B.C.""",Sandwich-Suit-Remove-inatorSandwich-Suit-Remove-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to destroy all sandwich suits in the Tri-State Area with his Sandwich-Suit-Remove-inator.,"The Sandwich-Suit-Remove-inator crashes, causing Doofenshmirtz to fall with a sandwich suit on. He lands neara caveman, who chases Doof down."
1,29,"""Voyage to the Bottom of Buford""",Media-Erase-inatorMedia-Erase-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","After accidentally catching a falling kitten, people think he's turned to the good side, so he tries to use his Media-Erase-inator to erase the image of his unintentional rescue.",It explodes.
1,30,"""A Hard Day's Knight""","The Evil Weapons ExpoNo inventions of his own, but he and Perry do battle in these two robots","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He goes toEvil-Conin London, where Perry the Platypus is in disguise asDr. Lloyd Wexler. Although he did not build it himself, he pilots a giant dragon robot on display at the weapons exposition; Perry fights back by commandeering a giant robot of Queen Elizabeth I.",Doofenshmirtz presses the self-destruct button and the eject button.
1,31,"""Traffic Cam Caper""",Norm the RobotNorm again,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He doesn't really have one, since this episode takes place during the middle of the night, but he lets Perry the Platypus borrow his old robot, Norm.","Norm becomes good, and soon joins O.W.C.A., but is fired."
1,32,"""Bowl-R-Ama Drama""",Giant Robotic Penguin Icy Freeze Your Socks Off Breath-inator ThingyGiant Robotic Penguin Icy Freeze Your Socks Off Breath-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to freeze the Tri-State Area with his giant robotic penguins, after which he will sell organic, yet highly-addictive Doof Brand hot chocolate for a million dollars.",Phineas and Ferb's bowling ball crushes the penguins.
1,33,"""Ready for the Bettys""",Destructo-inator/Destructo-ray/2nd Destruct-inatorDestruct-inator #2,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He builds a destructo-ray, but doesn't end up doing much with it, as Perry the Platypus locks him in the mop closet to keepPhineasandFerbsafe.",Perry easily locks Doofenshmirtz in the mop closet to save Phineas and Ferb. He also pushes the Destruct-Inator off a cliff.
1,34,"""The Flying Fishmonger""","Now-Who's-Blinded-by-Sand-inator/Who's-Crying-Now-inatorSand-kicking machine, called Who's-Blinded-by-Sandinator or Who's-Crying-Now-inator (title as yet undecided by Dr. Doofenshmirtz)","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to kick sand all over the house of his old bully,Boris.",The wind blows the sand on Doofenshmirtz.
1,35,"""Put That Putter Away""",Atomic-Leaf-Blower-inatorAtomic-Leaf-Blower-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He uses a giant leaf blower to blow leaves on hisneighbor's yard.,"The blower blows Doofenshmirtz away, due to the invention itself being uncontrollable."
1,36,"""Does This Duckbill Make Me Look Fat?""",StealingSlushy the Clown StatuesSlushy the ClownFlat-a-PlatinatorFlat-a-Platinator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He steals all the Tri-State Area's Mr. Slushy Burger statues and tries to write a new jingle forthe franchise.,Perry returns the statues.
1,37,"""Got Game?""",Misbehave-inatorMisbehave-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to win the Danville Dog Show by making all other dogs misbehave.,Perry steals the Misbehave-Inator.
1,38,"""Comet Kermillian""",Steak SpecsSteak SpecsSteak Containment Unit(S.C.U.)Steak Containment UnitGiant Heat RayGiant Heat Ray,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He steals all the steaks in the Tri-State Area and plans to turn them into eyeglasses designed to cover up black eyes (such as the one Perry gave him in their previous encounter). He wants to sell the eyeglasses to become rich. He also builds a computer-controlled heat ray.,Perry hacks into the heat ray. The heat ray fires at the S.C.U. causing it to explode and scatter all the steaks.
1,39,"""The Monster of Phineas-n-Ferbenstein""",Concoction BrewinatorConcoction Brewinator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He doesn't have an evil scheme, but he tells Perry the Platypus about his great grandfather,Dr. Jekyll Doofenshmirtz, and his efforts to be a certified mad scientist, as he displays his Concoction Brewinator to the public.","In the story, Dr. Jekyll is turned into a fairy princess and eaten bya platypus monster."
1,40,"""Oil on Candace""",Old -inatorsOld -inatorsBlender-inatorBlender -inatorBlowing up the moonBlowing up the moon,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He tries to impress his evil science professor,Dr. Gevaarlijk, with some of his old inventions. When all of his inventions fail, he resorts to passing off his blender as a ""Blender-inator"". He then tries to blow up the moon (with an unnamed -inator) to rid the world of songs about moons, which Dr. Gevaarlijk always hated.","He accidentally hits a dam instead of the moon. Gevaarlijk claims she likes ""a good toe-tapping dam song"" and leaves, unimpressed."
1,41,"""One Good Scare Ought to Do It!""",DisintevaporatorDisintevaporator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He tries to destroy the lair of his old Evil Science mentor,Professor Destructicon, as was requested of him.",The Disintevaporator destroys Phineas and Ferb'shaunted houseinstead of the lair.
1,42,"""Out of Toon""",Dance RayDance Ray,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He inadvertently creates a ray that harnesses the power of dance. He was actually trying to make an instant clothes-dryer.,"The Dance Ray is danced off a cliff, so Perry becomes the first one to stop evil while dancing."
1,43,"""Hail Doofania!""",DoofaniaDoofania,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates his own floating evil empire, Doofania.","The innertube below Doofania pops, sinking Doofania."
1,44,"""Out to Launch""",Space StationDoofenshmirtz's space station,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He seeks revenge on his childhood rival,Huge-Hands Hans, by using a giant space-bound robot to make shadow puppets on the moon.",A meteor shower crushes the station.
1,45,"""Phineas and Ferb Get Busted!""",Giant Robotic SpiderGiant Robotic Spider,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He appears fighting Perry atop a giant robotic spider. Why or how he built it is unknown. Since this episode takes place primarily within Candace's dream (within Perry's dream), it is unknown whether he actually built it or not.",Doof is easily defeated as the machine is sent tunneling underground.
1,46,"""Unfair Science Fair""",World's Largest Baking Soda VolcanoDoofenshmirtz's Volcano,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He builds a giant baking soda volcano to enter in the science fair because he always lost the science fair to one in his childhood and through teen years. Called World's Largest Baking Soda Volcano-inator in DVD extras.,Baljeet'sPortal to Marssucks him onto Mars.
1,47,"""Unfair Science Fair Redux (Another Story)""",1st InatorFirst Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He hasn't finished his baking soda volcano yet, but does fire his very first ""inator"" that he entered in his first science fair, which just shoots a laser beam into outer space.","Due to Doof never planning to use it, Perry doesn't destroy it."
