Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure
2,11,"""Gaming the System""",Ballgown-inatorBallgown-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He uses the Ballgown-inator to dress everyone in the Tri-State Area in ballgowns so he can be the manliest in comparison.,"After hitting a few unintentional shots,Doofhits himself with the machine, giving him a ballgown. Agent P then destroys it."
2,12,"""The Chronicles of Meap""",Static-Electro-Amplif-inatorStatic-Electro-Amplif-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to use his Static-Electro-Amplif-inator to attract all the balloons in Tri-State Area so that he can find his childhood balloon friend,Balloony.","The sheer amount of balloons lifts the machine into the sky and crashes it intoMitch's ship, where Balloony is located. However, Balloony doesn't follow him back to earth."
2,13,"""Thaddeus and Thor""",Kick-inator 5000Kick-inator 5000,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He invents the Kick-inator 5000 to use at his family kickball tournament so he can win and gethis mother's love.,"The inator succeeds in helping him pull the greatest kick, but the ball bounces fromthe boys' fortback toRoger, who then tags Heinz out."
2,14,"""De Plane! De Plane!""",Evaporator-inatorEvaporator-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to use his ""Greevil"" Evaporator-inator to evaporate the water of public pools because his mother never let him swim in them when he was a child.","Doofenshmirtz misses his original target, but when he tries to hit his nemesis, his power source is blocked bythe brothers' paper plane."
2,15,"""Let's Take a Quiz""",Scorch-inatorScorch-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He invents the Scorch-inator because he developed an addiction to infomercials and he wants to get rid of them by melting their station towers.,"Before Doof can activate the Inator, Perry escapes, and the two start fighting using items that Doof bought from infomercials."
2,16,"""At the Car Wash""",Mountain-Out-of-a-Molehill-inatorMountain-Out-of-a-Molehill-inatorUnstuck-inatorUnstuck-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates the Mountain-out-of-a-molehill-inator because all his life he was told to not make a mountain out of a molehill. Also, he uses an Unstuck-inator to get the machine working.","The device succeeds in making molehills grow to the size of mountains, but the power goes into overload. The Unstuck-inator smashes the Mountain-out-of-a-Molehill-inator, and a giantstarnose molecreated by the device steps into the Unstuck-inator."
2,17,"""Oh, There You Are, Perry""",Rocket BootsRocket BootsSelf-Destruct ButtonSelf-Destruct Button,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz visitsthe Regurgitatorafter being downgraded to a low threat, accepts an internship with him, and invents unnamed rocket boots so the Regurgitator can reach some high up files and a self-destruction system for the lair.",The Self-Destruct Button destroys the entire base. Perry later uses the Rocket Boots to transport himself and Doofenshmirtz out of the exploding lair.
2,18,"""Swiss Family Phineas""",Monkey-Enslave-inator HelmetMonkey-Enslave-inator Helmet,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz makes the Monkey Enslave-inator helmet after figuring out what he was thinking when he wrote ""Big Laundry"" on his list of evil ideas back in ""The Lake Nose Monster."" He uses the monkeys he's controlling to run a laundry service in a volcano. He only builds one helmet, because, as he explains, ""monkey see, monkey do"".","Perry knocks off the Monkey Enslave-inator helmet, leading all the monkeys to rebel."
2,19,"""Hide and Seek""",Doofenshmirtz's Recycling 'Scheme'Doofenshmirtz's Recycling SchemeTracking DeviceTracking DeviceCamera BotCamera Bot,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz tries to figure out where Perry the Platypus lives by attaching a nanobot to him.,"Doof pretends that his evil plan is to not recycle, but actually puts a Tracking Device on Perry as he leaves. When the platypus goes home, the Tracker turns into a Camera Bot, but the shrunken kids defeat it and knock off its eye, which Perry finds and crushes. Later, Doofenshmirtz self-destructs the rest of it, thinking Perry has the Camera Bot."
2,20,"""That Sinking Feeling""",Rockets on Danville LighthouseDanville Lighthouse with rockets,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz attaches a rocket to the Danville lighthouse to fly it away from his evil incorporation because he is sleep-deprived due to the noise of passing ships.,"He can't control the rocket, and the Lighthouse crashes into the middle of Doofenshmirtz Evil Inc, leading the boatscloserthan before, much to his anger."
2,21,"""The Baljeatles""",Bum-Bum-inatorBum-Bum-inatorNanny-inatorNanny-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz learns about a mother's heartbeat soothing babies, so he sends his heart beat throughout the Tri-State Area to create an army of babies who see him as their leader. He also builds a Nanny-Inator to trap Perry.","Perry escapes the Nanny-Inator and makes Doof's heart rate too fast by chasing him, causing the Bum Bum-Inator to explode."
2,22,"""Vanessassary Roughness""",Pizzazium InfinionitePizzazium Infinionite,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz is after some Pizzazium Infinionite that he wants to buy, and since it is taken byBufordandBaljeet(who is intending to use it for a science project),Vanessavolunteers to get it for Doof to prove that she's responsible enough to own a car.CandaceandStacyalso want it to use as a lantern for Jeremy, whose birthday it is.","Doofenshmirtz manages to find the capsule, but Perry knocks a security beam closer to Doofenshmirtz, so the security guards think he stole the Pizzazium and arrest him, much to Vanessa's dismay."
2,23,"""No More Bunny Business""",Giant-Dog-Biscuit-inatorGiant-Dog-Biscuit-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He builds a colossal dog biscuit with rockets attached, and coated in gravy, which he points out is irresistible to dogs; the constant barking in a nearby apartment building that recently started allowing pets pesters him to the point of building the Inator and attempting to use it to lure the noisy dogs away until they go ""over the edge of the Tri-State Area"".","When he's distracted so that he can't fire the Inator for long enough, dogs break into Doof's building and eat the Giant-Dog-Biscuit-Inator, gravy coating and all."
2,24,"""Spa Day""",Mr. FluffypantsDoofenshmirtz meets Mr. Fluffypants/Mr. Cat,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz takes in a lost kitten, which causes nothing but trouble.","In the end, Doof is forced to do the right thing and give Mr. Fluffypants back to his original owner."
2,25,"""Phineas and Ferb's Quantum Boogaloo""",Emperor of the Tri-State AreaDoofenshmirtz becomes Emperor,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","When the 35-year-old Candace messes with time, Doofenshmirtz becomes Emperor of the Tri-State Area in the future.","Once the timeline is restored, everything goes back to normal and Doof's reign of terror never happened."
2,26,"""Phineas and Ferb Musical Cliptastic Countdown""",Musical-Videoclip-inator and Musical-Video-Mind-Control-inator.Musical-Videoclip-inatorThe invention in action,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz makes a Musical-Videoclip-Inator, which is actually a Musical-Video-Mind-Control-Inator.","Perry breaks everyone out of their hypnosis by playing the #1 song, never before seen in an extended edition."
2,27,"""Bubble Boys""",Yodel-inatorYodel-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz creates a cowboy hat to make his singing voice better, then uses it to sing to the song ""Yodel Odel Obey Me"" in front of a crowd and make them want to do what he says.","Perry uses a party blower to destroy the hat, which changes his voice to normal, and the crowd loses interest in the song."
2,28,"""Cheer Up Candace""",Platy-Proliferator-inatorPlaty-Proliferator-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz uses the Platy-Proliferator-inator to create Perry clones, then uses them to frame the original Perry for crimes including kicking over a trash can, robbing a truck trailer full of money, speeding while throwing the stolen money at the cops, and eating cereal (which Major Monogram explains isn't really a crime).","Perry hits the reverse button, sucking all the other Perry clones and Doof back into the machine. Doof clogs the device, causing it to explode."
2,29,"""Fireside Girl Jamboree""",Metal-Destruct-inatorMetal-Destruct-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz creates the Metal-Destruct-inator to destroy the bridge connecting the Fireside Cupcake Factory to the Mainland by turning the metal into broccoli so that, with no more Fireside Girls selling him cupcakes, it will be easier to follow the low-carb diet recommended by his doctor.",The metal Destruct-Inator is destroyed when Perry fires the ray on itself by twisting the tip around.
2,30,"""The Bully Code""",Retire-inatorRetire-inatorRe-Tire-inatorRe-Tire-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz builds two inventions, but only uses one of them:The Retire-inator - which Doofenshmirtz will use once he reaches senior age and retires from evildoing. It is filled with crossword puzzles and a fat cat who will sit on his belly and warm him up. Other known objects on it are: a leg rest, a giant feather, a fan, drink, popcorn, slippers, TV, and a chart of his 401k.The Re-Tire-inator - this one, which Doofenshmirtz uses, is built to get revenge on the Tutti McFrutti ice cream truck driver for running over his foot by hitting the truck with a giant tire.","Perry knocks the tire off, thus saving the truck, and in the process, hurts Doofenshmirtz's good foot, which sets off a chain reaction between both his feet's pain."
2,31,"""Finding Mary McGuffin""",Cage-inatorCage-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz unknowingly buys a lobster cage opener, thinking that it does something evil.","In reality, it just opens and closes the cage it came with. Since it doesn't do anything evil, Perry doesn't bother to destroy it."
2,32,"""Picture This""",Mime-inatorMime-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz tries to rid the world ofmimesby trapping them in invisible boxes.,"Perry warps the device to Phineas and Ferb's backyard, then hits the self-destruct button."
2,33,"""Nerdy Dancin'""",L.O.V.E.M.U.F.F.I.N.L.O.V.E.M.U.F.F.I.N.,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz and his organization, the League Of Villainous Evildoers Maniacally United For Frightening Investments in Naughtiness, try to make a debut in the public eye during a taping of ""Let's All Dance Until We're Sick"".","The plan is foiled by a combination of the members being eliminated by the judges, the villains' lack of dancing skills, and Perry's assistance from above."
2,34,"""Atlantis""",Evil SprayEvil SprayPlant MinionPlant Minion,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz raises an army of plant minions using an evil spray.,"Perry uses a weed wacker to cut up the plants after they go rogue and attack Doof, Perry, and the blimp itself."
2,35,"""What Do It Do?""","Rocket Skiff and theAnti-Romance Rocket, on the rightRocket Skiff","data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz builds a rocket skiff with lots of traps and a robot that destroys romance.,"The Anti-Romance Rocket falls down from the Rocket Skiff. Doofenshmirtz is soon left trapped in his Rocket Skiff. The rocket later falls in love with the replica of itself reverse-engineered by Phineas and Ferb, and they fly away together."
2,36,"""Phineas and Ferb Christmas Vacation!""",Naughty-inatorNaughty-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz builds a Naughty-Inator to put all of Danville onSanta's naughty list, thus destroying Christmas.","The machine succeeds for a while, but music from the Sal Tuscany (Santa Claus with a y) disc shatters the glass containers holding the naughty juices, destroying the inator. It is later revealed that Santa was the one who sent the plans of the Naughty-inator to Doofenshmirtz as part of his plan to grant Doof's wish to gain the ability to hate Christmas, much to Doof's delight."
2,37,"""Just Passing Through""",Be-Gone-inator ABe-Gone-inator ABe-Gone-inator BBe-Gone-inator BBe-Gone-inator CBe-Gone-inator C,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz tries to destroy a statue of his brother Roger on the day of its unveiling.,"Bobblehead Perry the Platypusdestroys Be-gone-inator A, and Doofenshmirtz purposefully destroys Be-gone-inator B in order to be even with Perry. Be-gone-inator C hits the truck's side-view mirror and destroys itself, along with most of the truck."
2,38,"""Candace's Big Day""",Junk-Food-inatorJunk-Food-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz builds the Junk Food-inator in order to make all healthy food unhealthy by covering it in high-fructose corn syrup and hydrogenated coconut oil, thus rendering the citizens of Danville easy to control once he's the only person left eating healthy food.","The giant ice scorpion from Phineas and Ferb's ice wedding tower crashes into the inator and knocks it away. Meanwhile, Doofenshmirtz has made himself sick snacking on vegetables dipped in the Junk Food-inator's vats, using it against himself without realizing it, and he excuses himself to the bathroom."
2,39,"""I Was a Middle Aged Robot""",EulgEulg,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz invents Eulg, a glue-like substance that breaks items apart. (Eulg is glue backwards.) He intends to destroy the Tri-State Adult Diaper Factory with it.","He dumps the entire bottle on his own plane while checking his watch, causing it to fall apart in midair."
2,40,"""Suddenly Suzy""",Carbon-Footprint-inatorCarbon-Footprint-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to spread literal carbon footprints all over the Tri-State Area because, although he doesn't know what a carbon footprint is, he thinks it sounds evil.","The giant carbon foot stomps on a large banana and slips, causing it to crash into the blimp it's hanging from."
2,41,"""Undercover Carl""",Anti-Gravity Evil Launch-inatorAnti-Gravity Evil Launch-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz intercepts Phineas and Ferb's plans for anAnti-Gravity Fun Launcherand changes the name to make it his.,"The Anti-Gravity Evil Launchinator is towed away for being ""parked"" in a loading zone. Then, when Doofenshmirtz and Norm steal the original Anti-Gravity Fun Launcher from Phineas and Ferb, both it and a currently vehicle-shaped Norm get towed, this time because Doof doesn't have a license to drive a robot with more than two axles."
2,42,"""Hip Hip Parade""",Duplic-8-inatorDuplic-8-inatorIn-Doors-inatorIn-Doors-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz builds a ray that creates eight duplicates of whatever it hits. He plans to create traffic jams with the Duplic-8-inator, and traps Perry in the In-Doors-inator.","Perry tricks Doof into letting him out of the In-Doors-inator by knocking on the other side of the door so he'll open it, and after shooting willy-nilly for a bit, the Duplic-8-inator overloads and explodes."
2,43,"""Invasion of the Ferb Snatchers""",Wrapped-Up-In-a-Nice-Little-Bow-inatorWrapped-Up-In-a-Nice-Little-Bow-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz creates an inator that wraps things up with a nice little bow, then puts it up for auction.",Perry uses the Inator to wrapDoofenshmirtz Evil Inc.in a nice little package with a bow.
2,44,"""Ain't No Kiddie Ride""",Aerosol SculptureAerosol SculptureAerosol-Propelled-Ozone-Deplete-inatorAerosol-Propelled-Ozone-Deplete-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz plans to burn his name into the atmosphere so that no one will ever get his name wrong again.,"Candace ends up destroying the robotic hand with her red rocket (from Phineas' and Ferb's kiddie ride). Perry takes the fallen arm and smacks Doofenshmirtz with it, knocking him into the aerosol cans and then into his slicked-up pitfall trap."
2,45,"""Not Phineas and Ferb""",Shrink-inator RayShrink-inator Ray,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to shrink objects, including famous landmarks from around the world, for his model train set.",Perry shrinks Doof and returns everything back to its former place.
2,46,"""Phineas and Ferb-Busters!""",Straitjacket-inatorStraitjacket-inatorReplacement RobotRobot SmallRobot Big,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz builds a replacement forNormand makes an inator that traps Perry in a straitjacket.,"Perry escapes from the straitjacket. A shock wave shocks the Replacement Robot, turning him huge and rogue. Luckily, Norm 'accidentally' shorts it out by spilling cocoa."
2,47,"""The Lizard Whisperer""",GigantinatorGigantinatorOmni-Directional-AmplifinatorOmni-Directional-Amplifinator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Jeremyteaches Doofenshmirtz to play a certain song on the guitar, which the latter intends to use to summon an alien army. Jeremy accidentally flips what appears to be a light switch, but actually is what fires Doof’s Gigantinator, which hits the boys' chameleon,Steve.","The giant Steve eats the Omni-Directional-Amplifinator, thinking it's a mushroom."
2,48,"""Robot Rodeo""",Eradicate-Rodney's-Inator-inatorEradicate-Rodney's-Inator-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz enters the second annual Inator Creator contest, wanting to win againstRodney, who won the previous contest. To buy himself time to finish his creation, he uses a fog machine to obscure everyone's vision. When Rodney's Fog Clearer-inator (an electric fan) blows away the fog, he tells the captured animal agents how to escape so they'll cause a distraction.","Doof uses his Inator to destroy Rodney's inator after the agents destroyed all the rest, causing Doof to win by default. However, rampagingRobo-Bullssoon destroy Doof's Inator as well."
2,49,"""The Beak""",Doof's Fake Mayor VideoDoof asserts he is in charge,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Instead of building something, Doofenshmirtz merely asserts that he is in charge, under the hope that everyone is too lazy to stop him.","At first, theO.W.C.A.falls for it, but Doof later reveals that the video was only a bluff. However, the scheme gives Roger the idea of making him temporary mayor so he'll take the fall for failing to defend the city from Khaka Peu Peu's giant robot. Doof doesn't do anything with his mayoral power before being distracted by the chance to steal the robot and use it himself, at which point Perry gets in the Beak suit and defeats him."
2,50,"""She's the Mayor""",Accelerate-inatorAccelerate-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz is scheduled to play golf with his brother, but since he hates the game, he creates the Accelerate-inator to speed things along. However, he is unaware that his invention also has the ability to open up holes to other dimensions.","His device seems to work initially, but starts to malfunction and eventually reverses time back to before he used it, at which point a giant other-dimensionalalien babysmashes it with a giant hammer."
2,51,"""The Lemonade Stand""",Paper-Cut-inatorPaper-Cut-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz creates a ""Paper-Cut-Inator"" so that he can make trillions selling bandages.","Doof accidentally gives himself a bunch of paper cuts when the Inator explodes, the pain of which is worsened when an arriving Vanessa accidentally spills lemonade onto him, much to Vanessa's dismay."
2,52,"""Phineas and Ferb Hawaiian Vacation""",De-Evolution-atorDe-Evolution-atorSand-inatorSand-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz tries to make the population less intelligent with his De-Evolution-ator. Doof makes the Sand-inator, which is both made of sand and intended to make sand wedge itself into people's swim trunks.","The De-Evolution-ator is disabled after making Doof's head grow large. A wave destroys the inator, getting sand wedged in Doof's swim trunks."
2,53,"""Phineas and Ferb: Summer Belongs to You!""",Giant Water BalloonGiant Water Balloon,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz takes a father-daughter trip to Tokyo with Vanessa, only to splash a water balloon on the International Good Guy Convention and blame Major Monogram for it.",It misses its target after Doofenshmirtz accidentally steps on the remote.
2,54,"""Nerds of a Feather""",Doof 'n' PussDoof 'n' Puss,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He tries to pitch a TV show to an executive at the science fiction & fantasy convention, hoping to gain loyal fans who will help him take over the Tri-State Area.","After the TV executive suggests that the character based on Perry be given a girlfriend in the show, Doofenshmirtz storms off."
2,55,"""Wizard of Odd""",Brat-Begone-inatorBrat-Begone-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plays the role of a witch/warlock in Candace's dream. He builds an inator to destroy Candace and get her boots for himself.,"Candace escapes before it fires. Eventually, she gives the boots to him, but he is later smashed by a falling house."
2,56,"""We Call it Maze""",Tilt-inatorTilt-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz tries to lean his building in order to make it a tourist attraction like the Leaning Tower of Pisa, after which he plans to lean every other building so that the Leaning Tower of Pisa isn't special anymore, then straighten out his own so that it’s the only straight building in the world.","Perry first closes the screen of the space station, then jams the Tilt-inator with a snow globe, causing it to shoot everywhere and make the space station spin wildly."
